#model:pLinear_up	end_point_b=0.20
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.101309	-1687.335358	-1575.469399	3262.804758	111.865959	4950.140116	1.692156	1.865493	0.972638	0.813264	0.528527	0.127183	-0.099185	-0.160427	0.086667
0.101327	-1687.342226	-1575.474881	3262.817107	111.867344	4950.159333	1.693883	1.869605	1.053053	0.813038	0.527985	0.133583	-0.100582	-0.162636	0.076085
0.101345	-1687.349094	-1575.480363	3262.829457	111.868730	4950.178551	1.695612	1.873718	1.133555	0.812806	0.527435	0.139126	-0.101981	-0.164845	0.065030
0.101364	-1687.355962	-1575.485845	3262.841807	111.870117	4950.197768	1.697342	1.877833	1.214133	0.812568	0.526875	0.143776	-0.103380	-0.167053	0.053571
0.101382	-1687.362830	-1575.491326	3262.854156	111.871504	4950.216986	1.699074	1.881948	1.294781	0.812325	0.526306	0.147505	-0.104779	-0.169259	0.041780
0.101400	-1687.369698	-1575.496807	3262.866505	111.872891	4950.236204	1.700808	1.886065	1.375488	0.812075	0.525728	0.150289	-0.106178	-0.171464	0.029732
0.101418	-1687.376567	-1575.502288	3262.878855	111.874278	4950.255421	1.702542	1.890182	1.456246	0.811819	0.525140	0.152111	-0.107577	-0.173668	0.017501
0.101436	-1687.383435	-1575.507769	3262.891204	111.875666	4950.274639	1.704278	1.894300	1.537044	0.811558	0.524543	0.152960	-0.108976	-0.175870	0.005165
0.101455	-1687.390304	-1575.513249	3262.903553	111.877055	4950.293858	1.706014	1.898419	1.617872	0.811290	0.523936	0.152829	-0.110374	-0.178070	-0.007200
0.101473	-1687.397173	-1575.518730	3262.915903	111.878444	4950.313076	1.707750	1.902537	1.698721	0.811016	0.523320	0.151721	-0.111771	-0.180268	-0.019515
0.101491	-1687.404042	-1575.524210	3262.928252	111.879833	4950.332294	1.709487	1.906655	1.779579	0.810736	0.522695	0.149641	-0.113168	-0.182464	-0.031704
0.101509	-1687.410912	-1575.529689	3262.940601	111.881222	4950.351513	1.711223	1.910773	1.860435	0.810450	0.522060	0.146604	-0.114563	-0.184658	-0.043691
0.101527	-1687.417781	-1575.535169	3262.952950	111.882612	4950.370732	1.712959	1.914890	1.941280	0.810158	0.521416	0.142627	-0.115956	-0.186849	-0.055399
0.101545	-1687.424651	-1575.540648	3262.965299	111.884003	4950.389950	1.714694	1.919006	2.022102	0.809860	0.520763	0.137736	-0.117348	-0.189038	-0.066756
0.101564	-1687.431521	-1575.546127	3262.977648	111.885393	4950.409169	1.716429	1.923121	2.102892	0.809556	0.520101	0.131962	-0.118738	-0.191223	-0.077691
0.101582	-1687.438391	-1575.551606	3262.989997	111.886785	4950.428388	1.718162	1.927235	2.183639	0.809246	0.519429	0.125340	-0.120126	-0.193406	-0.088134
0.101600	-1687.445261	-1575.557085	3263.002346	111.888176	4950.447608	1.719894	1.931347	2.264333	0.808931	0.518749	0.117913	-0.121511	-0.195585	-0.098021
0.101618	-1687.452132	-1575.562564	3263.014695	111.889568	4950.466827	1.721624	1.935457	2.344966	0.808611	0.518059	0.109726	-0.122894	-0.197761	-0.107289
0.101636	-1687.459002	-1575.568042	3263.027044	111.890961	4950.486047	1.723353	1.939566	2.425527	0.808285	0.517361	0.100831	-0.124275	-0.199933	-0.115881
0.101655	-1687.465873	-1575.573520	3263.039393	111.892353	4950.505266	1.725080	1.943672	2.506009	0.807954	0.516655	0.091285	-0.125652	-0.202102	-0.123742
0.101673	-1687.472744	-1575.578998	3263.051742	111.893747	4950.524486	1.726804	1.947775	2.586404	0.807618	0.515939	0.081145	-0.127027	-0.204267	-0.130823
0.101691	-1687.479615	-1575.584475	3263.064091	111.895140	4950.543706	1.728526	1.951876	2.666705	0.807277	0.515215	0.070477	-0.128398	-0.206429	-0.137080
0.101709	-1687.486487	-1575.589953	3263.076439	111.896534	4950.562926	1.730246	1.955974	2.746904	0.806932	0.514483	0.059347	-0.129766	-0.208586	-0.142474
0.101727	-1687.493358	-1575.595430	3263.088788	111.897928	4950.582146	1.731962	1.960069	2.826997	0.806582	0.513743	0.047825	-0.131131	-0.210740	-0.146970
0.101745	-1687.500230	-1575.600907	3263.101137	111.899323	4950.601366	1.733677	1.964160	2.906977	0.806228	0.512995	0.035982	-0.132492	-0.212889	-0.150541
0.101764	-1687.507102	-1575.606383	3263.113485	111.900718	4950.620587	1.735388	1.968249	2.986841	0.805870	0.512239	0.023893	-0.133850	-0.215034	-0.153164
0.101782	-1687.513974	-1575.611860	3263.125834	111.902114	4950.639807	1.737096	1.972333	3.066585	0.805508	0.511475	0.011635	-0.135204	-0.217175	-0.154823
0.101800	-1687.520846	-1575.617336	3263.138182	111.903510	4950.659028	1.738801	1.976414	-3.136980	0.805143	0.510703	-0.000717	-0.136555	-0.219312	-0.155506
0.101818	-1687.527718	-1575.622812	3263.150531	111.904906	4950.678249	1.740503	1.980491	-3.057484	0.804774	0.509925	-0.013085	-0.137902	-0.221444	-0.155211
0.101836	-1687.534591	-1575.628288	3263.162879	111.906303	4950.697470	1.742202	1.984565	-2.978115	0.804402	0.509138	-0.025392	-0.139245	-0.223572	-0.153938
0.101855	-1687.541464	-1575.633764	3263.175227	111.907700	4950.716691	1.743898	1.988634	-2.898873	0.804027	0.508345	-0.037560	-0.140585	-0.225696	-0.151695
0.101873	-1687.548337	-1575.639239	3263.187576	111.909098	4950.735912	1.745590	1.992700	-2.819758	0.803650	0.507545	-0.049513	-0.141921	-0.227816	-0.148497
0.101891	-1687.555210	-1575.644714	3263.199924	111.910496	4950.755134	1.747279	1.996761	-2.740769	0.803270	0.506739	-0.061176	-0.143254	-0.229931	-0.144364
0.101909	-1687.562083	-1575.650189	3263.212272	111.911894	4950.774355	1.748965	2.000818	-2.661904	0.802888	0.505925	-0.072477	-0.144583	-0.232041	-0.139321
0.101927	-1687.568957	-1575.655664	3263.224620	111.913293	4950.793577	1.750648	2.004872	-2.583161	0.802504	0.505105	-0.083344	-0.145909	-0.234148	-0.133400
0.101945	-1687.575830	-1575.661138	3263.236969	111.914692	4950.812799	1.752328	2.008921	-2.504537	0.802118	0.504279	-0.093709	-0.147231	-0.236250	-0.126637
0.101964	-1687.582704	-1575.666612	3263.249317	111.916092	4950.832021	1.754005	2.012966	-2.426028	0.801730	0.503447	-0.103507	-0.148550	-0.238349	-0.119076
0.101982	-1687.589578	-1575.672087	3263.261665	111.917492	4950.851243	1.755680	2.017007	-2.347630	0.801341	0.502609	-0.112678	-0.149866	-0.240443	-0.110764
0.102000	-1687.596452	-1575.677560	3263.274013	111.918892	4950.870465	1.757351	2.021044	-2.269337	0.800950	0.501764	-0.121163	-0.151179	-0.242533	-0.101752
0.102018	-1687.603327	-1575.683034	3263.286361	111.920293	4950.889688	1.759020	2.025077	-2.191146	0.800559	0.500914	-0.128909	-0.152490	-0.244619	-0.092097
0.102036	-1687.610201	-1575.688507	3263.298709	111.921694	4950.908910	1.760687	2.029107	-2.113049	0.800166	0.500058	-0.135868	-0.153797	-0.246702	-0.081860
0.102055	-1687.617076	-1575.693981	3263.311057	111.923096	4950.928133	1.762352	2.033132	-2.035040	0.799772	0.499197	-0.141996	-0.155102	-0.248780	-0.071104
0.102073	-1687.623951	-1575.699454	3263.323404	111.924497	4950.947355	1.764014	2.037154	-1.957112	0.799378	0.498329	-0.147255	-0.156405	-0.250855	-0.059897
0.102091	-1687.630826	-1575.704926	3263.335752	111.925900	4950.966578	1.765675	2.041173	-1.879259	0.798983	0.497457	-0.151612	-0.157706	-0.252927	-0.048309
0.102109	-1687.637701	-1575.710399	3263.348100	111.927303	4950.985801	1.767334	2.045189	-1.801472	0.798587	0.496579	-0.155039	-0.159005	-0.254995	-0.036412
0.102127	-1687.644577	-1575.715871	3263.360448	111.928706	4951.005025	1.768992	2.049201	-1.723744	0.798191	0.495696	-0.157515	-0.160303	-0.257060	-0.024281
0.102145	-1687.651452	-1575.721343	3263.372796	111.930109	4951.024248	1.770649	2.053210	-1.646067	0.797794	0.494807	-0.159025	-0.161598	-0.259122	-0.011993
0.102164	-1687.658328	-1575.726815	3263.385143	111.931513	4951.043471	1.772305	2.057217	-1.568432	0.797397	0.493913	-0.159559	-0.162893	-0.261181	0.000377
0.102182	-1687.665204	-1575.732287	3263.397491	111.932918	4951.062695	1.773960	2.061221	-1.490831	0.796999	0.493014	-0.159113	-0.164186	-0.263237	0.012751
0.102200	-1687.672080	-1575.737758	3263.409838	111.934322	4951.081919	1.775614	2.065223	-1.413255	0.796601	0.492109	-0.157691	-0.165479	-0.265290	0.025050
0.102218	-1687.678957	-1575.743229	3263.422186	111.935727	4951.101143	1.777269	2.069222	-1.335695	0.796202	0.491199	-0.155301	-0.166771	-0.267340	0.037199
0.102236	-1687.685833	-1575.748700	3263.434533	111.937133	4951.120367	1.778924	2.073220	-1.258143	0.795803	0.490284	-0.151958	-0.168062	-0.269388	0.049121
0.102255	-1687.692710	-1575.754171	3263.446881	111.938539	4951.139591	1.780579	2.077216	-1.180589	0.795403	0.489364	-0.147684	-0.169353	-0.271434	0.060742
0.102273	-1687.699587	-1575.759641	3263.459228	111.939945	4951.158815	1.782234	2.081210	-1.103024	0.795003	0.488438	-0.142505	-0.170644	-0.273477	0.071989
0.102291	-1687.706464	-1575.765112	3263.471576	111.941352	4951.178039	1.783891	2.085203	-1.025440	0.794602	0.487506	-0.136453	-0.171936	-0.275519	0.082790
0.102309	-1687.713341	-1575.770582	3263.483923	111.942759	4951.197264	1.785549	2.089195	-0.947828	0.794199	0.486570	-0.129566	-0.173227	-0.277558	0.093080
0.102327	-1687.720218	-1575.776052	3263.496270	111.944167	4951.216489	1.787207	2.093186	-0.870180	0.793796	0.485627	-0.121887	-0.174519	-0.279595	0.102793
0.102345	-1687.727096	-1575.781521	3263.508617	111.945575	4951.235713	1.788868	2.097177	-0.792486	0.793392	0.484679	-0.113466	-0.175812	-0.281630	0.111868
0.102364	-1687.733974	-1575.786991	3263.520964	111.946983	4951.254938	1.790530	2.101167	-0.714738	0.792987	0.483726	-0.104353	-0.177106	-0.283664	0.120250
0.102382	-1687.740852	-1575.792460	3263.533312	111.948392	4951.274163	1.792194	2.105157	-0.636929	0.792580	0.482766	-0.094606	-0.178400	-0.285696	0.127884
0.102400	-1687.747730	-1575.797929	3263.545659	111.949801	4951.293389	1.793861	2.109147	-0.559051	0.792172	0.481800	-0.084287	-0.179696	-0.287726	0.134724
0.102418	-1687.754608	-1575.803398	3263.558006	111.951210	4951.312614	1.795530	2.113137	-0.481096	0.791762	0.480829	-0.073460	-0.180993	-0.289755	0.140727
0.102436	-1687.761487	-1575.808866	3263.570353	111.952620	4951.331839	1.797201	2.117128	-0.403058	0.791350	0.479851	-0.062193	-0.182291	-0.291782	0.145855
0.102455	-1687.768365	-1575.814335	3263.582700	111.954031	4951.351065	1.798875	2.121119	-0.324929	0.790936	0.478867	-0.050556	-0.183590	-0.293808	0.150076
0.102473	-1687.775244	-1575.819803	3263.595047	111.955441	4951.370291	1.800552	2.125111	-0.246703	0.790519	0.477876	-0.038622	-0.184891	-0.295833	0.153364
0.102491	-1687.782123	-1575.825271	3263.607394	111.956853	4951.389517	1.802232	2.129104	-0.168376	0.790100	0.476879	-0.026466	-0.186193	-0.297856	0.155698
0.102509	-1687.789002	-1575.830738	3263.619740	111.958264	4951.408743	1.803915	2.133097	-0.089940	0.789678	0.475875	-0.014165	-0.187497	-0.299877	0.157064
0.102527	-1687.795882	-1575.836206	3263.632087	111.959676	4951.427969	1.805601	2.137092	-0.011393	0.789254	0.474864	-0.001794	-0.188803	-0.301897	0.157453
0.102545	-1687.802761	-1575.841673	3263.644434	111.961088	4951.447195	1.807290	2.141089	0.067270	0.788826	0.473846	0.010568	-0.190110	-0.303916	0.156862
0.102564	-1687.809641	-1575.847140	3263.656781	111.962501	4951.466422	1.808982	2.145087	0.146054	0.788394	0.472821	0.022844	-0.191418	-0.305933	0.155296
0.102582	-1687.816521	-1575.852607	3263.669127	111.963914	4951.485648	1.810678	2.149086	0.224959	0.787959	0.471789	0.034957	-0.192728	-0.307949	0.152764
0.102600	-1687.823401	-1575.858073	3263.681474	111.965328	4951.504875	1.812377	2.153087	0.303989	0.787520	0.470749	0.046832	-0.194039	-0.309963	0.149282
0.102618	-1687.830281	-1575.863540	3263.693821	111.966742	4951.524102	1.814079	2.157089	0.383145	0.787077	0.469702	0.058393	-0.195352	-0.311976	0.144873
0.102636	-1687.837162	-1575.869006	3263.706167	111.968156	4951.543329	1.815785	2.161093	0.462427	0.786630	0.468647	0.069569	-0.196666	-0.313987	0.139563
0.102655	-1687.844042	-1575.874472	3263.718514	111.969571	4951.562556	1.817494	2.165099	0.541836	0.786179	0.467584	0.080289	-0.197981	-0.315996	0.133386
0.102673	-1687.850923	-1575.879937	3263.730860	111.970986	4951.581783	1.819205	2.169106	0.621371	0.785723	0.466513	0.090487	-0.199297	-0.318003	0.126381
0.102691	-1687.857804	-1575.885403	3263.743207	111.972401	4951.601010	1.820920	2.173116	0.701029	0.785262	0.465435	0.100098	-0.200614	-0.320008	0.118592
0.102709	-1687.864685	-1575.890868	3263.755553	111.973817	4951.620238	1.822638	2.177126	0.780810	0.784796	0.464348	0.109062	-0.201932	-0.322011	0.110067
0.102727	-1687.871566	-1575.896333	3263.767899	111.975233	4951.639466	1.824359	2.181139	0.860708	0.784325	0.463252	0.117323	-0.203250	-0.324012	0.100861
0.102745	-1687.878448	-1575.901798	3263.780246	111.976650	4951.658693	1.826082	2.185153	0.940721	0.783848	0.462149	0.124830	-0.204569	-0.326011	0.091030
0.102764	-1687.885330	-1575.907262	3263.792592	111.978067	4951.677921	1.827808	2.189168	1.020845	0.783366	0.461037	0.131536	-0.205888	-0.328007	0.080637
0.102782	-1687.892211	-1575.912727	3263.804938	111.979485	4951.697149	1.829536	2.193185	1.101072	0.782879	0.459916	0.137398	-0.207207	-0.330000	0.069746
0.102800	-1687.899093	-1575.918191	3263.817284	111.980903	4951.716378	1.831267	2.197203	1.181398	0.782386	0.458787	0.142379	-0.208526	-0.331990	0.058426
0.102818	-1687.905976	-1575.923655	3263.829630	111.982321	4951.735606	1.832999	2.201222	1.261815	0.781888	0.457650	0.146449	-0.209844	-0.333978	0.046747
0.102836	-1687.912858	-1575.929118	3263.841976	111.983740	4951.754834	1.834733	2.205242	1.342317	0.781383	0.456503	0.149583	-0.211162	-0.335962	0.034784
0.102855	-1687.919741	-1575.934582	3263.854322	111.985159	4951.774063	1.836469	2.209263	1.422895	0.780873	0.455348	0.151759	-0.212479	-0.337943	0.022611
0.102873	-1687.926623	-1575.940045	3263.866668	111.986578	4951.793292	1.838206	2.213285	1.503540	0.780357	0.454185	0.152966	-0.213795	-0.339920	0.010304
0.102891	-1687.933506	-1575.945508	3263.879014	111.987998	4951.812521	1.839944	2.217307	1.584243	0.779835	0.453012	0.153195	-0.215110	-0.341894	-0.002060
0.102909	-1687.940389	-1575.950971	3263.891360	111.989418	4951.831750	1.841683	2.221329	1.664996	0.779307	0.451831	0.152445	-0.216424	-0.343864	-0.014403
