#model:pLinear_down	end_point_b=1.00
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.128200	-148.010432	-147.595364	295.605796	0.415069	443.616228	1.656895	1.656897	1.656966	0.819029	0.546414	0.152407	-0.070692	-0.047163	-0.013165
0.128500	-147.965432	-147.550364	295.515796	0.415068	443.481228	1.789567	1.789574	1.789764	0.802479	0.535373	0.149325	-0.178415	-0.119033	-0.033230
0.128800	-147.920432	-147.505364	295.425795	0.415068	443.346227	1.922200	1.922210	1.922519	0.771836	0.514929	0.143617	-0.282971	-0.188789	-0.052705
0.129100	-147.875432	-147.460364	295.335795	0.415068	443.211227	2.054792	2.054806	2.055228	0.727650	0.485449	0.135387	-0.382526	-0.255209	-0.071248
0.129400	-147.830431	-147.415364	295.245795	0.415068	443.076226	2.187344	2.187361	2.187888	0.670710	0.447460	0.124781	-0.475339	-0.317131	-0.088536
0.129700	-147.785431	-147.370364	295.155795	0.415067	442.941226	2.319856	2.319876	2.320500	0.602024	0.401635	0.111988	-0.559787	-0.373472	-0.104265
0.130000	-147.740431	-147.325364	295.065794	0.415067	442.806225	2.452328	2.452350	2.453059	0.522809	0.348785	0.097233	-0.634399	-0.423251	-0.118163
0.130300	-147.695431	-147.280364	294.975794	0.415067	442.671225	2.584759	2.584784	2.585566	0.434461	0.289842	0.080777	-0.697876	-0.465601	-0.129986
0.130600	-147.650430	-147.235364	294.885794	0.415067	442.536224	2.717151	2.717177	2.718019	0.338534	0.225843	0.062909	-0.749117	-0.499787	-0.139530
0.130900	-147.605430	-147.190364	294.795794	0.415066	442.401224	2.849502	2.849530	2.850416	0.236715	0.157913	0.043944	-0.787237	-0.525220	-0.146631
0.131200	-147.560430	-147.145364	294.705793	0.415066	442.266223	2.981814	2.981843	2.982758	0.130789	0.087242	0.024214	-0.811582	-0.541462	-0.151165
0.131500	-147.515430	-147.100364	294.615793	0.415066	442.131223	3.114085	3.114115	3.115043	0.022610	0.015068	0.004065	-0.821738	-0.548238	-0.153057
0.131800	-147.470429	-147.055364	294.525793	0.415066	441.996222	-3.036868	-3.036839	-3.035914	-0.085931	-0.057346	-0.016152	-0.817542	-0.545438	-0.152275
0.132100	-147.425429	-147.010364	294.435793	0.415065	441.861222	-2.904677	-2.904648	-2.903742	-0.192938	-0.128738	-0.036084	-0.799080	-0.533121	-0.148836
0.132400	-147.380429	-146.965364	294.345792	0.415065	441.726221	-2.772525	-2.772498	-2.771626	-0.296547	-0.197863	-0.055382	-0.766687	-0.511509	-0.142803
0.132700	-147.335428	-146.920364	294.255792	0.415065	441.591221	-2.640413	-2.640388	-2.639565	-0.394956	-0.263518	-0.073712	-0.720940	-0.480988	-0.134282
0.133000	-147.290428	-146.875364	294.165792	0.415065	441.456220	-2.508342	-2.508318	-2.507560	-0.486454	-0.324562	-0.090755	-0.662648	-0.442098	-0.123424
0.133300	-147.245428	-146.830364	294.075792	0.415064	441.321220	-2.376310	-2.376289	-2.375608	-0.569454	-0.379938	-0.106215	-0.592838	-0.395522	-0.110421
0.133600	-147.200428	-146.785364	293.985791	0.415064	441.186219	-2.244319	-2.244300	-2.243708	-0.642522	-0.428686	-0.119825	-0.512734	-0.342080	-0.095501
